#Variables:
#pr_bcc-csm1-1_rcp85(mm):Monthly Precipitation Amount
#pr_CNRM-CM5_rcp85(mm):Monthly Precipitation Amount
#pr_inmcm4_rcp85(mm):Monthly Precipitation Amount
#pr_MIROC-ESM_rcp85(mm):Monthly Precipitation Amount
#pr_NorESM1-M_rcp85(mm):Monthly Precipitation Amount
"#Data Extracted for Average over Grid Cell w/ center: 34.2296 Latitude, -83.9811 Longitude (closest value to Latitude:34.2219, Longitude:-83.9691) "
#Original Data File(s):
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_pr_CNRM-CM5_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_pr_inmcm4_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_pr_MIROC-ESM_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_pr_NorESM1-M_r1i1p1_rcp85_2006_2099_CONUS_monthly.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,pr_bcc-csm1-1_rcp85(mm),pr_CNRM-CM5_rcp85(mm),pr_inmcm4_rcp85(mm),pr_MIROC-ESM_rcp85(mm),pr_NorESM1-M_rcp85(mm)"
""
yyyy-mm-dd,pr_bcc-csm1-1_rcp85(mm),pr_CNRM-CM5_rcp85(mm),pr_inmcm4_rcp85(mm),pr_MIROC-ESM_rcp85(mm),pr_NorESM1-M_rcp85(mm)
2061-06-15,212.768646,61.049896,74.243263,79.879532,81.968613
2061-07-15,208.281357,40.010258,158.110229,148.260712,216.707413
2061-08-15,127.182693,143.396881,63.057247,13.475390,90.479225
2061-09-15,289.956055,58.615070,82.189125,34.058422,272.911652
2061-10-15,183.795853,73.543015,57.984062,143.820755,48.679691
2061-11-15,99.075790,59.150192,33.738525,94.015541,148.890381
2061-12-15,46.663883,75.035095,205.971710,182.091156,68.351959
2062-01-15,204.869247,37.386806,99.142258,73.025948,28.195169
2062-02-15,215.507584,95.145897,125.282684,64.959747,147.546753
2062-03-15,138.426682,146.513672,110.249519,153.375534,175.857224
2062-04-15,104.069458,131.828247,67.819237,116.060173,110.884872
2062-05-15,110.522469,136.234955,72.964775,49.803238,280.555023
2062-06-15,149.759445,173.799133,122.464363,149.923691,147.208710
2062-07-15,87.386185,72.194786,18.429531,35.694794,35.011673
2062-08-15,191.340958,29.589222,109.289062,80.400116,124.672417
2062-09-15,67.920433,8.691897,66.293831,140.501221,67.818939
2062-10-15,247.337997,122.565147,217.668015,56.635071,124.638939
2062-11-15,65.126282,52.282742,59.050011,114.699379,110.894066
2062-12-15,206.810638,159.353821,72.048798,100.248665,24.816515
2063-01-15,175.032181,115.854462,176.131866,29.226986,228.799484
2063-02-15,214.276123,103.351311,122.090515,147.649017,67.898308
2063-03-15,232.129990,216.775162,122.277130,244.297562,150.928375
2063-04-15,57.567974,184.258453,100.342194,125.908905,52.743366
2063-05-15,86.438469,141.205338,111.535950,91.100067,113.968590
2063-06-15,126.783974,115.375839,102.211739,147.122894,98.895866
2063-07-15,47.419243,54.525322,136.436905,254.168808,48.225014
2063-08-15,41.657097,41.026035,36.010731,52.533840,101.771812
2063-09-15,46.157551,138.659821,72.328430,92.740974,17.372421
2063-10-15,135.549606,99.607246,199.144501,57.553635,73.152702
2063-11-15,211.673615,101.195389,106.204964,115.570450,40.710613
2063-12-15,113.392715,251.799866,34.273373,56.554749,182.609726
2064-01-15,282.582764,149.261581,238.213882,264.415802,66.802811
2064-02-15,241.179108,212.726700,72.446465,143.468475,149.981445
2064-03-15,129.340973,174.410004,221.185150,129.809631,71.774765
2064-04-15,139.114807,89.854149,92.434082,94.461273,145.008835
2064-05-15,38.210529,107.652794,169.368164,66.673843,113.006851
2064-06-15,108.537415,93.857323,132.597427,87.681824,59.350975
2064-07-15,127.052719,3.815397,111.591324,43.184959,36.682568
2064-08-15,17.458578,122.716797,35.115803,200.523254,111.898415
2064-09-15,151.041458,286.110565,108.211586,278.018280,349.887634
2064-10-15,91.394806,151.901962,97.982727,112.315422,155.980179
2064-11-15,105.560898,129.369400,137.496460,99.608612,108.601616
2064-12-15,57.215862,105.050468,110.054695,138.037750,111.904060
2065-01-15,369.327911,248.348404,132.929291,227.590637,124.979752
2065-02-15,144.609726,128.393982,156.613586,7.305159,277.991455
2065-03-15,176.401520,64.440987,121.265961,173.810028,155.823074
2065-04-15,105.336388,195.436569,63.667709,36.874832,49.258205
2065-05-15,51.046883,114.581825,52.420643,64.659981,57.535854
2065-06-15,192.897903,108.228577,105.137451,5.366136,189.997025
2065-07-15,60.301769,286.273132,49.666710,57.742962,196.316513
2065-08-15,59.529888,66.416466,177.731705,35.691292,73.263435
2065-09-15,192.717682,144.715118,164.725372,266.246399,206.437881
2065-10-15,109.040161,182.621353,117.156097,22.957441,30.096144
2065-11-15,73.096359,92.531342,31.110008,166.823730,117.283722
2065-12-15,66.231293,90.722641,94.963043,142.301895,324.056061
2066-01-15,66.330399,53.272881,133.288025,181.639587,317.757477
2066-02-15,164.764893,44.156624,74.549225,59.369400,89.835930
2066-03-15,199.063721,80.065414,243.814362,200.319809,314.984528
2066-04-15,283.250336,199.308228,31.107340,113.343399,105.567963
2066-05-15,28.215784,30.914961,32.624821,121.451668,81.350395
2066-06-15,24.727333,66.284454,19.380560,120.106064,152.348251
2066-07-15,253.095932,130.137985,54.969887,106.283096,156.177078
2066-08-15,99.249176,144.822815,100.618431,112.880440,85.278770
2066-09-15,91.469254,401.060822,50.923901,219.925385,109.797913
2066-10-15,29.492903,142.619873,30.381449,200.422348,72.696503
2066-11-15,84.847450,196.946075,127.031502,33.565277,178.632172
2066-12-15,135.922806,106.965477,248.795761,67.624908,229.470749
2067-01-15,219.496368,38.723976,164.974213,100.355423,298.631317
2067-02-15,177.640472,300.796082,80.658859,103.723366,127.630775
2067-03-15,243.657700,171.441910,107.563126,211.144821,315.782776
2067-04-15,45.608604,83.575661,133.604462,79.065605,65.331589
2067-05-15,160.318344,153.511902,65.080612,99.238930,81.915306
2067-06-15,112.202805,117.396431,79.563667,200.344559,175.304245
2067-07-15,148.511810,135.723785,69.102531,140.902771,174.025223
2067-08-15,69.026466,66.230629,39.635765,69.923851,79.652214
2067-09-15,131.958847,93.133369,94.377975,37.479198,26.044664
2067-10-15,27.922518,170.674438,18.503664,97.937225,46.601761
2067-11-15,131.710419,125.217514,65.750092,69.711212,212.998184
2067-12-15,122.228584,71.046219,101.027054,63.557426,164.441879
2068-01-15,205.413162,220.026230,83.566742,55.240414,111.204018
2068-02-15,87.994255,102.466080,43.934914,160.234100,187.186996
