#Variables:
#tasmax_bcc-csm1-1_historical(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmin_bcc-csm1-1_historical(K):Monthly Average of Daily Minimum Near-Surface Air Temperature
#tasmax_CNRM-CM5_historical(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmin_CNRM-CM5_historical(K):Monthly Average of Daily Minimum Near-Surface Air Temperature
#tasmax_inmcm4_historical(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmin_inmcm4_historical(K):Monthly Average of Daily Minimum Near-Surface Air Temperature
#tasmax_MIROC5_historical(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmin_MIROC5_historical(K):Monthly Average of Daily Minimum Near-Surface Air Temperature
#tasmax_NorESM1-M_historical(K):Monthly Average of Daily Maximum Near-Surface Air Temperature
#tasmin_NorESM1-M_historical(K):Monthly Average of Daily Minimum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 34.2296 Latitude, -83.9811 Longitude (closest value to Latitude:34.2219, Longitude:-83.9691) "
#Original Data File(s):
#agg_macav2metdata_tasmax_bcc-csm1-1_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmin_bcc-csm1-1_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmin_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_inmcm4_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmin_inmcm4_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_MIROC5_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmin_MIROC5_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmax_NorESM1-M_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_tasmin_NorESM1-M_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,tasmax_bcc-csm1-1_historical(K),tasmin_bcc-csm1-1_historical(K),tasmax_CNRM-CM5_historical(K),tasmin_CNRM-CM5_historical(K),tasmax_inmcm4_historical(K),tasmin_inmcm4_historical(K),tasmax_MIROC5_historical(K),tasmin_MIROC5_historical(K),tasmax_NorESM1-M_historical(K),tasmin_NorESM1-M_historical(K)"
""
yyyy-mm-dd,tasmax_bcc-csm1-1_historical(K),tasmin_bcc-csm1-1_historical(K),tasmax_CNRM-CM5_historical(K),tasmin_CNRM-CM5_historical(K),tasmax_inmcm4_historical(K),tasmin_inmcm4_historical(K),tasmax_MIROC5_historical(K),tasmin_MIROC5_historical(K),tasmax_NorESM1-M_historical(K),tasmin_NorESM1-M_historical(K)
1965-05-15,300.645050,286.515472,299.391907,285.835358,299.301636,285.703491,296.067383,282.956635,299.401520,286.281525
1965-06-15,304.310394,291.567688,303.256500,291.383911,303.152679,291.181244,301.941803,290.581512,302.204559,291.281250
1965-07-15,305.770355,293.915649,305.926086,293.520782,304.709991,292.073212,303.910767,292.772705,303.778503,292.231140
1965-08-15,304.604309,292.199951,304.030029,290.857971,303.485870,290.656372,301.782288,290.946228,301.839752,291.043945
1965-09-15,298.262848,287.116028,302.983063,289.338470,303.727753,285.985626,297.753448,289.085663,299.927277,287.603363
1965-10-15,294.665436,282.654938,297.582397,283.773651,296.760468,285.159729,292.678711,280.986267,294.693481,282.850586
1965-11-15,288.195892,276.419922,291.532898,278.526520,287.831970,275.890900,288.684479,277.375519,286.667999,276.027191
1965-12-15,285.030457,272.048126,284.958130,273.244507,285.070374,275.404694,286.215576,275.537079,285.283875,274.414093
1966-01-15,281.023315,270.015900,288.754028,277.023346,282.595703,272.334869,282.983124,273.730316,283.031219,272.537537
1966-02-15,287.131134,274.729645,287.249115,276.652893,284.838043,274.467377,282.467682,272.295380,284.377960,273.725159
1966-03-15,291.385773,277.971863,289.883148,277.512451,288.365112,276.947357,289.833466,276.642700,287.713257,274.958832
1966-04-15,298.101624,283.986664,296.940826,285.302277,296.498627,283.328278,296.033539,281.801605,293.947784,280.158051
1966-05-15,299.816315,287.516846,299.464020,287.096527,300.711853,288.043884,298.169800,285.495239,297.858582,285.745972
1966-06-15,302.161011,291.133118,302.785156,291.159515,302.683899,290.957703,302.641785,291.753021,301.578949,290.544006
1966-07-15,302.870483,292.155823,303.907959,292.954468,306.043091,292.221741,304.097046,293.111877,305.345917,293.904938
1966-08-15,303.102722,292.261017,301.948395,291.683563,305.476562,292.633331,301.868896,291.480988,304.427185,292.894012
1966-09-15,297.542267,287.248016,298.628510,287.160034,302.427643,291.852539,300.930847,290.366638,298.965698,287.911926
1966-10-15,293.658508,280.658203,296.040283,283.737549,293.474030,282.039642,295.491852,282.411285,293.971802,279.765930
1966-11-15,291.554901,281.845642,289.646881,277.517578,290.304016,278.191833,288.783173,275.488647,290.300354,279.474640
1966-12-15,288.285431,276.986023,286.527649,275.939026,286.015350,274.730194,282.613373,271.584229,284.328552,274.448883
1967-01-15,286.659393,272.970459,284.189056,274.093658,286.682892,274.195282,281.705994,270.978516,283.021423,272.328400
1967-02-15,286.083344,273.739441,284.734680,272.054504,287.905212,276.423553,286.430511,273.351227,283.668610,271.805756
1967-03-15,290.590851,276.957092,288.506897,275.760864,291.525757,277.218079,294.307404,282.270325,291.607880,280.060455
1967-04-15,297.799988,282.645081,295.228241,281.040375,294.739075,281.959656,296.359650,283.524780,295.860779,280.647522
1967-05-15,298.923798,284.525085,299.297089,286.086456,300.049194,286.025177,300.436493,286.220581,299.327240,284.868500
1967-06-15,304.577148,291.844391,301.600189,289.453949,303.880066,291.481140,301.749939,290.921204,302.657318,290.711548
