#Variables:
#pr_bcc-csm1-1_historical(mm):Monthly Precipitation Amount
#pr_CNRM-CM5_historical(mm):Monthly Precipitation Amount
#pr_inmcm4_historical(mm):Monthly Precipitation Amount
#pr_MIROC-ESM_historical(mm):Monthly Precipitation Amount
#pr_NorESM1-M_historical(mm):Monthly Precipitation Amount
"#Data Extracted for Average over Grid Cell w/ center: 34.2296 Latitude, -83.9811 Longitude (closest value to Latitude:34.2219, Longitude:-83.9691) "
#Original Data File(s):
#agg_macav2metdata_pr_bcc-csm1-1_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_pr_CNRM-CM5_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_pr_inmcm4_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_pr_MIROC-ESM_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#agg_macav2metdata_pr_NorESM1-M_r1i1p1_historical_1950_2005_CONUS_monthly.nc#fillmismatch 
#===============================================
"yyyy-mm-dd,pr_bcc-csm1-1_historical(mm),pr_CNRM-CM5_historical(mm),pr_inmcm4_historical(mm),pr_MIROC-ESM_historical(mm),pr_NorESM1-M_historical(mm)"
""
yyyy-mm-dd,pr_bcc-csm1-1_historical(mm),pr_CNRM-CM5_historical(mm),pr_inmcm4_historical(mm),pr_MIROC-ESM_historical(mm),pr_NorESM1-M_historical(mm)
1978-07-15,156.498672,45.185177,157.902954,117.375877,80.248695
1978-08-15,174.528183,224.286026,82.321167,37.717369,100.272919
1978-09-15,237.053619,75.622345,38.058441,226.259857,184.338715
1978-10-15,29.848143,197.593506,26.458689,41.069397,46.885368
1978-11-15,226.541748,236.031647,191.013000,91.313057,50.801361
1978-12-15,108.329300,126.772240,238.287750,54.200672,152.373352
1979-01-15,123.150818,133.590866,168.133179,75.756386,97.406624
1979-02-15,197.447617,116.669159,75.385872,111.416794,105.045174
1979-03-15,292.619385,172.457153,101.872139,109.215714,61.476650
1979-04-15,214.027710,123.022133,111.172958,113.221283,102.156311
1979-05-15,101.026085,169.594650,100.607620,223.788742,146.343903
1979-06-15,147.942642,96.089142,72.108856,65.471802,85.000710
1979-07-15,260.244385,90.528603,73.776802,128.938339,86.484718
1979-08-15,191.236313,129.735641,175.988693,62.361893,243.751617
1979-09-15,116.506310,8.966780,100.477554,138.530106,110.629890
1979-10-15,7.768657,140.029190,217.165833,257.423492,205.971954
1979-11-15,46.011902,39.634098,66.190430,165.251205,110.012276
1979-12-15,177.438171,69.976059,167.455109,88.422371,83.207535
1980-01-15,77.476891,39.204685,207.678925,156.842407,47.089245
1980-02-15,68.233635,130.030884,92.440369,90.187721,143.202408
1980-03-15,71.737228,173.287979,68.538536,102.390373,94.449852
1980-04-15,73.576324,143.921646,100.107307,116.387154,102.514282
1980-05-15,80.252617,187.864578,168.815338,84.472321,40.924805
1980-06-15,28.427767,146.593140,91.710373,36.975140,97.819374
1980-07-15,98.287270,92.052551,85.117065,29.399895,74.205719
1980-08-15,182.560623,22.410259,76.251854,46.039677,71.518463
1980-09-15,84.078690,64.987907,226.988327,68.327461,109.988106
1980-10-15,84.682060,235.109528,89.936272,124.788994,98.705154
1980-11-15,68.808586,66.544594,38.687138,147.970963,55.529083
1980-12-15,61.317600,150.513809,57.930439,108.696663,161.974075
1981-01-15,168.820099,196.242493,48.854935,129.191284,33.220100
1981-02-15,137.578171,97.844437,118.414116,169.117233,51.395313
1981-03-15,267.271667,34.027954,178.206329,237.581543,12.575263
1981-04-15,188.712021,6.681732,69.507286,103.635498,110.491333
1981-05-15,80.551987,62.552971,81.095810,72.171509,48.263374
1981-06-15,315.999207,59.941570,59.480843,158.449188,137.501083
1981-07-15,4.306123,125.846947,73.787560,128.952942,53.412830
1981-08-15,137.668503,114.245399,9.405622,12.425835,174.888565
1981-09-15,96.268806,46.187737,17.803009,27.367231,119.059036
1981-10-15,95.212448,96.337570,7.164148,148.105820,43.178154
1981-11-15,106.839203,52.591564,28.717770,80.222641,89.677170
1981-12-15,111.081848,161.533127,92.516281,93.010338,157.668198
1982-01-15,92.446732,153.012421,156.094040,150.447662,243.630020
1982-02-15,101.193184,116.015518,66.164978,246.971848,13.789126
1982-03-15,171.693924,131.632462,111.469955,177.410706,126.886185
1982-04-15,116.005722,70.772621,114.252823,51.375690,59.044472
1982-05-15,39.543819,46.292217,109.678902,204.118622,35.964172
1982-06-15,63.418926,162.325211,238.031540,76.195282,122.208549
1982-07-15,189.038513,90.324524,125.911331,110.092926,73.374588
1982-08-15,79.276665,138.617584,179.489868,59.589664,97.642403
1982-09-15,15.100759,94.096329,228.762344,211.809113,98.323227
1982-10-15,66.683777,78.980080,231.780136,54.437855,225.629547
1982-11-15,20.131689,66.897469,65.350288,118.875748,133.882736
1982-12-15,224.259445,64.901680,106.795311,78.476677,88.705460
1983-01-15,155.247406,129.577560,263.852417,85.009270,106.086670
1983-02-15,171.747360,257.898773,154.079849,119.957077,100.907867
1983-03-15,177.297897,225.254272,252.662827,142.410828,64.380562
1983-04-15,51.623169,100.049919,123.282455,85.626678,133.836823
1983-05-15,109.033791,136.176712,80.481445,105.746780,127.995857
1983-06-15,26.295988,106.356926,71.623650,64.901733,146.616226
1983-07-15,169.112381,100.529510,231.100143,228.195694,264.967102
1983-08-15,115.866135,182.283554,150.072845,241.552231,83.035912
1983-09-15,259.650757,273.212646,144.105591,39.881313,223.080307
1983-10-15,16.282631,20.629425,109.921669,51.118210,159.042969
1983-11-15,204.195862,121.749825,53.262955,162.036957,211.823456
1983-12-15,40.117283,121.926422,156.091278,211.156082,136.869446
1984-01-15,221.397659,198.072220,249.908966,186.897797,307.655609
1984-02-15,122.376762,189.323502,176.529541,37.044662,181.270767
