,"(deg C) Mean Temperature (PRISM MONTHLY) at -83.9691E,34.2219N, Jan 1961 to Dec 2005"
"1989-12-01",2.254
"1990-01-01",7.806
"1990-02-01",10.253
"1990-03-01",12.474
"1990-04-01",14.852
"1990-05-01",19.426
"1990-06-01",23.99
"1990-07-01",25.978
"1990-08-01",25.999
"1990-09-01",22.616
"1990-10-01",16.81
"1990-11-01",12.879
"1990-12-01",8.498
"1991-01-01",5.661
"1991-02-01",7.956
"1991-03-01",12.064
"1991-04-01",16.825
"1991-05-01",21.272
"1991-06-01",23.583
"1991-07-01",26.058
"1991-08-01",24.535
"1991-09-01",22.164
"1991-10-01",16.546
"1991-11-01",9.452
"1991-12-01",8.493
"1992-01-01",6.208
"1992-02-01",9.168
"1992-03-01",10.549
"1992-04-01",14.939
"1992-05-01",18.127
"1992-06-01",22.215
"1992-07-01",25.6
"1992-08-01",23.279
"1992-09-01",21.819
"1992-10-01",14.977
"1992-11-01",10.175
"1992-12-01",5.861
"1993-01-01",7.619
"1993-02-01",5.736
"1993-03-01",8.581
"1993-04-01",13.572
"1993-05-01",19.658
"1993-06-01",24.2
"1993-07-01",28.112
"1993-08-01",26.026
"1993-09-01",22.971
"1993-10-01",15.572
"1993-11-01",9.816
"1993-12-01",5.859
"1994-01-01",2.531
"1994-02-01",7.765
"1994-03-01",11.802
"1994-04-01",16.961
"1994-05-01",18.457
"1994-06-01",24.301
"1994-07-01",24.282
"1994-08-01",23.85
"1994-09-01",20.909
"1994-10-01",15.579
"1994-11-01",12.607
"1994-12-01",8.403
"1995-01-01",5.497
"1995-02-01",5.559
"1995-03-01",12.954
"1995-04-01",15.802
"1995-05-01",20.039
"1995-06-01",22.775
"1995-07-01",26.404
"1995-08-01",26.2
"1995-09-01",20.852
"1995-10-01",15.986
"1995-11-01",8.265
"1995-12-01",5.298
"1996-01-01",3.442
"1996-02-01",6.34
"1996-03-01",7.715
"1996-04-01",14.033
"1996-05-01",21.04
"1996-06-01",23.545
"1996-07-01",25.46
"1996-08-01",24.55
"1996-09-01",21.188
"1996-10-01",15.378
"1996-11-01",8.953
"1996-12-01",6.837
"1997-01-01",5.898
"1997-02-01",8.054
"1997-03-01",14.017
"1997-04-01",13.052
"1997-05-01",17.06
